RID,DISCNAME,VISCNAME,INFO1,INFO2,IDX,VISCIDX,DISCGROUP,MODULENAME,IDX_VISCGROUP,Buf1,Buf2,Buf3,Buf4
1,正常男性腹部全套（无门静脉）,超声,肝脏形态规则，大小正常，表面光滑，实质回声分布均匀，肝内管系尚清。
胆囊大小正常，壁光滑，透声可，胆囊内未见明显异常回声，胆总管上段内径正常。
脾厚正常，实质回声分布均匀。
胰头厚正常，胰体厚正常，实质回声分布均匀，主胰管内径不扩张。
双肾形态规则，大小正常，实质回声分布均匀，双肾集合系无明显液暗区及强回声团。
双侧输尿管未见明显扩张。
CDFI:所检脏器未见明显异常血流信号。,肝、胆、脾、胰、双肾、输尿管未见明显异常声像。,0,0,腹部(肝胆胰脾双肾输尿管）,UIS,0,ZCNXFBQT（WMJM）,NULL,NULL,NULL
2,正常女性腹部全套（无门静脉）,超声,肝脏形态规则，大小正常，表面光滑， 实质回声分布均匀，肝内管系尚清。
胆囊大小正常，壁光滑，透声可，胆囊内未见明显异常回声，胆总管上段内径正常。
脾厚正常，实质回声分布均匀。	
胰头厚正常，胰体厚正常，实质回声分布均匀，主胰管内径不扩张。
双肾形态规则，大小正常，实质回声分布均匀，双肾集合系无明显液暗区及强回声团。
双侧输尿管未见明显扩张。
CDFI:所检脏器未见明显异常血流信号。,肝、胆、脾、胰、双肾、输尿管未见明显异常声像。,0,0,腹部(肝胆胰脾双肾输尿管）,UIS,0,ZCNXFBQT（WMJM）,NULL,NULL,NULL
3,女性经阴道彩超（子宫附件）,超声,子宫前位，形态规则，大小正常，实质回声均匀，宫腔线居中，内膜厚约mm，宫内未见明显异常光团及暗区。
双侧附件区未见明显包块声像。
CDFI:所检脏器未见明显异常血流信号。,子宫、附件未见明显异常声像。,1,0,腹部 (膀胱前列腺/子宫附件),UIS,0,NXJYDCC（ZGFJ）,NULL,NULL,NULL
4,甲状腺(正常),超声,甲状腺双侧叶形态规则，大小正常，表面光滑，实质回声分布均匀，内未见明显结节及占位回声。
CDFI：甲状腺内血流分布未见明显异常。
双侧颈部未见明显肿大淋巴结回声。,甲状腺双侧叶未见异常声像。
双侧颈部未见明显肿大淋巴结回声。
,0,0,正常甲状腺、颈动脉、乳腺,UIS,0,JZX(ZC),NULL,NULL,NULL
5,甲状腺、甲状旁腺、颈部淋巴结未见异常（有淋巴结）,超声,甲状腺双侧叶形态规则，大小正常，表面光滑，实质回声分布均匀，内未见明显结节及占位回声。
CDFI：甲状腺内血流分布未见明显异常。
双侧甲状旁腺区未见明显占位性病变。
双侧颈部未见明显淋巴结回声。

,甲状腺双侧叶未见异常声像。
双侧甲状旁腺区未见明显异常。
双侧颈部未见肿大淋巴结回声。
,0,0,正常甲状腺、颈动脉、乳腺,UIS,0,JZX、JZPX、GBLBJWJYC（YLBJ）,NULL,NULL,NULL
6,甲状腺、双侧颈动脉、乳腺未见异常（有淋巴结）,超声,甲状腺双侧叶切面形态规则，大小正常，表面光滑，实质回声分布均匀，内未见明显结节及其它异常回声。双侧颈部未见明显淋巴结回声。
CDFI：甲状腺血流分布及频谱未见异常。

双侧颈动脉走行正常，内膜光滑，内-中膜未增厚，管腔内无明显斑块回声，未见明显狭窄及扩张。
CDFI：双侧颈总动脉、颈内、颈外动脉内血彩未见充盈缺损。

双乳组织增厚、增粗，回声分布不均，见多个粗大点片状低回声区，呈“豹纹征”，内未见明显肿块声像。
CDFI：双乳内无异常血流信号。
,甲状腺双侧叶未见明显异常声像。
双侧颈总动脉、颈内、颈外动脉未见明显异常声像。
双侧乳腺未见占位性病变，BI-RADS 1级。,6,0,正常甲状腺、颈动脉、乳腺,UIS,0,JZX、SCGDM、RXWJYC（YLBJ）,NULL,NULL,NULL
8,乳腺（不是1级）,超声,双侧乳腺切面形态轮廓正常，层次清楚，边界光滑完整，内部回声分布均匀，未见明显结节及其它异常回声。
CDFI：双乳内未见明显异常血流信号。
双侧腋窝未见明显肿大淋巴结声像。,双侧乳腺未见明显异常声像。
双侧腋窝未见明显肿大淋巴结。
,3,0,正常甲状腺、颈动脉、乳腺,UIS,0,RX（BS1J）,NULL,NULL,NULL
9,心内结构未见明显异常,超声,"AO: mm         LA: mm          LV:  mm         PA： mm   

RA: mm         RV: mm          IVS:  mm        LVPW:  mm   AOV：cm/s

各房室内径正常，房室间隔未见明显连续中断,室间隔及左室后壁不厚，运动协调；主动脉、肺动脉内径正常，主、肺动脉位置关系正常，各瓣膜清晰，启闭自如；心包及心包腔未见明显异常回声。
M:二尖瓣前叶曲线呈“双峰”，前后叶运动异向。AO波幅正常，重博波可见。
CDFI： E＜A  E＞A  房室间隔未见过隔血流，各瓣膜口未见明显返流血彩。
心功能：EF：%  FS：%",心内结构未见明显异常声像，左室收缩舒张功能测值正常。,0,0,正常心脏,UIS,0,XNJGWJMXYC,NULL,NULL,NULL
11,胆囊多发结石,超声,"胆囊大小形态正常，壁欠光滑，内见多个强回声团，后伴声影，改变体位可移动,较大约 x mm，胆总管上段内径正常。",胆囊多发结石。,3,0,胆囊,UIS,109,DNDFJS,NULL,NULL,NULL
12,胆囊充填型结石,超声,胆囊区未探及明显正常胆囊声像，可见一弧形强光带，长约mm，后方伴大片声影，呈“WES”征，胆总管上段内径正常。,胆囊充填型结石、胆囊炎。,3,0,胆囊,UIS,10,DNCTXJS,NULL,NULL,NULL
14,胆囊多发息肉样病变,超声,胆囊大小形态正常，壁欠光滑，内见多个附壁稍高回声结节，无声影，改变体位不移动，较大约xmm，胆总管上段内径正常。,胆囊多发息肉样病变。,1,0,胆囊,UIS,9,DNDFXRYBB,NULL,NULL,NULL
16,肝囊肿（单发）,超声,肝内可见无回声区，大小约 x mm，壁薄，后壁回声增强，内透声可。,肝囊肿。,1,0,肝脏,UIS,6,GNZ（DF）,NULL,NULL,NULL
17,肝多发囊肿,超声,肝内可见多个无回声区，壁薄，内透声可，后壁回声增强，其一大小约 x mm。,肝多发囊肿。,1,0,肝脏,UIS,6,GDFNZ,NULL,NULL,NULL
18,肝内钙化灶,超声,肝内可见一强回声斑，大小约 x mm，后无声影。,肝内钙化灶。,1,0,肝脏,UIS,6,GNGHZ,NULL,NULL,NULL
19,肝血管瘤,超声,肝内可见稍高/稍低/等回声结节，大小约 x mm，形态规则，边界尚清，内部回声欠均匀，内呈“网格状”改变，后方回声无衰减。
